date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:23	24117/24117	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:57:22%20GMT	http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=news&page=2	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/bbs/board5e7e.html	(from http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=news)
17:57:24	8695/8695	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:57:22%20GMT	http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=news&page=3	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/bbs/board80a0.html	(from http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=news)
17:57:24	178/178	---M--	200	added ('OK')	image/gif	etag:%221db8149-b2-59c9fba3%22	http://ds-bluewhale.co.kr/board/skin/board/news/img/page_end.gif	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/board/news/img/page_end.gif	(from http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=news)
17:57:27	144763/144763	---MCZ	200	added ('OK')	application/javascript	etag:W/%22176c802-2357b-59edacc4%22	http://ds-bluewhale.co.kr/vr/20/tour.js	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/vr/20/tour.js	(from http://ds-bluewhale.co.kr/vr/20/)
18:11:59	22364577/22364577	---M--	200	added ('OK')	application/pdf	etag:%221dd00c1-15541a1-5a2ab30e%22	http://ds-bluewhale.co.kr/data/gongo.pdf	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/data/gongo.pdf	(from http://ds-bluewhale.co.kr/website/gongo.htm)
18:11:59	7013/7013	---MCZ	200	added ('OK')	text/css	etag:W/%221db81a2-1b65-59c9fbb8%22	http://ds-bluewhale.co.kr/board/skin/member/basic/style.css?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/member/basic/style0d2a.css	(from http://ds-bluewhale.co.kr/board/bbs/login.php)
18:11:59	54/54	---M--	200	added ('OK')	image/gif	etag:%221db81da-36-59c9fbca%22	http://ds-bluewhale.co.kr/board/theme/basic/img/gnb_bg00.gif	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/theme/basic/img/gnb_bg00.gif	(from http://ds-bluewhale.co.kr/board/theme/basic/css/default.css?ver=161020)
18:12:00	51/51	---M--	200	added ('OK')	image/gif	etag:%221db81db-33-59c9fbca%22	http://ds-bluewhale.co.kr/board/theme/basic/img/wrest.gif	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/theme/basic/img/wrest.gif	(from http://ds-bluewhale.co.kr/board/theme/basic/css/default.css?ver=161020)
18:12:00	17/17	---M--	200	added ('OK')	text/css	etag:%221db82ae-11-59c9fbfb%22	http://ds-bluewhale.co.kr/board/theme/basic/skin/connect/basic/style.css?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/theme/basic/skin/connect/basic/style0d2a.css	(from http://ds-bluewhale.co.kr/board/)
18:12:01	13087/13087	---M--	200	added ('OK')	image/jpeg	etag:%221db818f-331f-59c9fbb5%22	http://ds-bluewhale.co.kr/board/skin/member/basic/img/btn_login.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/skin/member/basic/img/btn_login.jpg	(from http://ds-bluewhale.co.kr/board/bbs/login.php)
18:12:01	2709/2709	---MCZ	200	added ('OK')	text/css	etag:W/%221db82e4-a95-59c9fc0a%22	http://ds-bluewhale.co.kr/board/theme/basic/skin/outlogin/basic/style.css?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/theme/basic/skin/outlogin/basic/style0d2a.css	(from http://ds-bluewhale.co.kr/board/)
18:12:01	491/491	---M--	200	added ('OK')	text/css	etag:%221db82c6-1eb-59c9fc02%22	http://ds-bluewhale.co.kr/board/theme/basic/skin/latest/basic/style.css?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/theme/basic/skin/latest/basic/style0d2a.css	(from http://ds-bluewhale.co.kr/board/)
18:12:01	482/482	---M--	200	added ('OK')	text/css	etag:%221db82ed-1e2-59c9fc0d%22	http://ds-bluewhale.co.kr/board/theme/basic/skin/popular/basic/style.css?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/theme/basic/skin/popular/basic/style0d2a.css	(from http://ds-bluewhale.co.kr/board/)
